state_code,state_name,region,gap_pp,black_share_pct,mean_income,mean_ltv,n_lenders,n_apps
MS,Mississippi,South,23.466990586829883,29.136509005217974,98.03760790631688,71.45306908840911,494,41587
SC,South Carolina,South,23.1137479587076,18.129500563926083,116.94457136797864,69.84722944067207,877,103737
LA,Louisiana,South,23.04747112981681,26.369735700755896,106.45938147249908,76.28857291468539,550,56489
AR,Arkansas,South,22.227361052637328,11.113610292629165,101.19132234193302,71.65383774551667,548,44459
WI,Wisconsin,Midwest,18.864367869299926,3.5194993210981123,114.34384806985047,58.51655989553669,677,111209
MI,Michigan,Midwest,18.26446012477926,8.46208404752054,108.65836042319286,63.66200237881234,798,169190
AL,Alabama,South,18.10141320883617,19.7768112224075,107.71449560968784,70.79653692654615,711,85757
IL,Illinois,Midwest,17.656438446912993,11.091389366991775,124.3622346528973,67.77823078735291,879,167328
PA,Pennsylvania,Northeast,16.429571364448748,8.516258916344759,142.44258793713084,59.60867410890924,928,195708
NC,North Carolina,South,16.098432304778008,17.046539993240163,121.38987592274195,63.97777038374264,996,204147
MA,Massachusetts,Northeast,15.646936126341515,7.970363718006286,169.90203236953593,54.44079837709064,597,102442
GA,Georgia,South,15.392230804903273,29.48712059441644,121.46055789703367,67.33484921565628,950,174154
NY,New York,Northeast,15.092100235311424,10.41504797354679,775.231893223473,58.614325208855206,547,166029
MO,Missouri,Midwest,14.353506891235101,7.2782774709287485,119.33206056212927,67.81408364418253,646,97949
OH,Ohio,Midwest,14.016737820266489,8.501959609575875,118.6316832671809,63.07323313182735,834,200295
TN,Tennessee,South,14.008978223184055,10.292887683396778,124.00590152658032,65.17498018333804,974,127933
DE,Delaware,South,13.846235234846526,20.501347434789242,124.90700157624447,63.57164088585483,431,19667
MD,Maryland,South,13.823380621254156,31.029508607983946,145.1295117438615,65.90170725591729,700,95667
IN,Indiana,Midwest,13.302162412820461,6.939839676239395,98.83065608218539,64.23590925356464,767,128490
NE,Nebraska,Midwest,13.212956688657162,3.5820367751060824,112.70661244695899,65.60777664334847,372,28280
RI,Rhode Island,Northeast,12.982629047509464,6.810353311681921,133.7151855132369,55.28533377323774,341,20322
NJ,New Jersey,Northeast,12.911360771238488,10.990702957385048,171.13278364393588,59.103017104002454,715,118855
VA,Virginia,South,12.010821191727416,17.478628750872296,130.8507792509886,65.77675670239414,840,137568
FL,Florida,South,11.844241486157303,11.82274032069496,144.12781130672138,63.95840963956443,1529,411419
MN,Minnesota,Midwest,11.43986822978692,5.08371512743361,124.71923718062968,63.128498929135354,643,95383
CT,Connecticut,Northeast,11.422189839694886,10.167288022177612,154.91972086798586,60.19914997731924,566,52305
KS,Kansas,Midwest,11.019517924804735,4.499180746192484,116.6402804265492,67.80116855487111,511,37229
OK,Oklahoma,South,10.644685687858646,6.528755550741903,107.4346366294812,72.95529991991204,582,46165
UT,Utah,West,10.237373261328031,0.9928901367629743,149.71099764514085,54.68688651413856,500,88328
CO,Colorado,West,10.172763448578658,3.7060400567733796,209.59808461527433,58.213890532378485,933,139502
TX,Texas,South,9.621405779042258,12.406275233590955,139.2207015693577,72.44040622591916,1187,364098
CA,California,West,9.420530812780415,6.745203668348898,192.85714109527544,55.61998557574563,1016,405414
IA,Iowa,Midwest,9.313181302578943,2.962110723269827,104.38392387043935,63.729367720336136,488,51281
NV,Nevada,West,9.175136138313022,8.99048667348062,125.85812563880808,63.408589570920746,567,50876
OR,Oregon,West,7.8926845389851845,2.1297509829619923,131.81716906946264,57.82944199515333,616,73248
AZ,Arizona,West,7.758690237351162,4.599456661305364,128.24487409950396,61.720245764447256,911,147974
WA,Washington,West,7.44048517101672,4.409447625973397,146.02080113929037,56.19537598478419,714,132012
KY,Kentucky,South,6.5825743805493335,5.768675692392276,104.86134286303347,67.12294801053436,637,72755
NM,New Mexico,West,4.586873332681152,2.9325402800783014,106.70821412437886,67.88161486915172,449,26564
WV,West Virginia,South,3.639940460881219,3.5343422584400463,93.21653084982538,72.83184266513116,391,21475
