State,State_Name,Region,N_Total,N_Black,Black_Pct,White_Approval,Black_Approval,Gap_pp,SE,P_Value,Sig
MS,Mississippi,South,41587,12117,29.136509005217974,78.26603325415678,54.799042667326894,23.466990586829883,0.5119978258382457,0.0,***
SC,South Carolina,South,103737,18807,18.129500563926083,82.24066878605912,59.12692082735151,23.1137479587076,0.3817027213141499,0.0,***
LA,Louisiana,South,56489,14896,26.369735700755896,78.43146683336138,55.38399570354458,23.04747112981681,0.4544841601237005,0.0,***
AR,Arkansas,South,44459,4941,11.113610292629165,80.3127688648211,58.08540781218377,22.227361052637328,0.7298973153125363,5.51897086410909e-189,***
WI,Wisconsin,Midwest,111209,3914,3.5194993210981123,87.1065753296985,68.24220746039857,18.864367869299926,0.75111760667476,1.739700496651129e-129,***
MI,Michigan,Midwest,169190,14317,8.46208404752054,83.17330974411293,64.90884961933367,18.26446012477926,0.41003543949235516,0.0,***
AL,Alabama,South,85757,16960,19.7768112224075,80.45990377487391,62.35849056603774,18.10141320883617,0.40156304121792213,0.0,***
IL,Illinois,Midwest,167328,18559,11.091389366991775,83.88306703681546,66.22662858990248,17.656438446912993,0.3600078556656014,0.0,***
PA,Pennsylvania,Northeast,195708,16667,8.516258916344759,80.97028055026503,64.54070918581628,16.429571364448748,0.38199136567032616,0.0,***
NC,North Carolina,South,204147,34800,17.046539993240163,83.37142081052514,67.27298850574712,16.098432304778008,0.26730518846026496,0.0,***
MA,Massachusetts,Northeast,102442,8165,7.970363718006286,84.0364033645534,68.38946723821188,15.646936126341515,0.5282018525098903,3.8756282796362374e-184,***
GA,Georgia,South,174154,51353,29.48712059441644,81.55389614091091,66.16166533600763,15.392230804903273,0.2363188872237892,0.0,***
NY,New York,Northeast,166029,17292,10.41504797354679,79.6768793239073,64.58477908859588,15.092100235311424,0.3783662436498391,0.0,***
MO,Missouri,Midwest,97949,7129,7.2782774709287485,84.72803347280335,70.37452658156825,14.353506891235101,0.5538031511710633,3.723183116068424e-142,***
OH,Ohio,Midwest,200295,17029,8.501959609575875,82.11233944103107,68.09560162076458,14.016737820266489,0.36823082921240047,1.0207135240522626e-305,***
TN,Tennessee,South,127933,13168,10.292887683396778,81.46037555003703,67.45139732685298,14.008978223184055,0.42412912214048254,3.6885612674845165e-231,***
DE,Delaware,South,19667,4032,20.501347434789242,82.17460825071954,68.32837301587301,13.846235234846526,0.7939841234245364,2.5247332248392554e-66,***
MD,Maryland,South,95667,29685,31.029508607983946,85.20960261889606,71.38622199764191,13.823380621254156,0.29649717789032926,0.0,***
IN,Indiana,Midwest,128490,8917,6.939839676239395,84.20044658911293,70.89828417629246,13.302162412820461,0.49245391183698517,4.8462225263167325e-155,***
NE,Nebraska,Midwest,28280,1013,3.5820367751060824,86.75688561264532,73.54392892398816,13.212956688657162,1.4010176512095918,2.591491307736415e-20,***
