Purpose,Year,White_Rate,Black_Rate,Gap_pp,N_Black,N_White
Purchase,2020,89.44,76.03,13.41,455895,3790848
Purchase,2021,90.11,79.04,11.07,511920,3918318
Purchase,2022,88.51,76.62,11.89,437082,3132249
Purchase,2023,86.95,74.39,12.56,367145,2498297
Purchase,2024,87.34,75.24,12.1,358746,2518622
Refinance,2020,87.34,72.31,15.02,350037,6042277
Refinance,2021,86.97,73.45,13.52,491532,5959863
Refinance,2022,79.14,63.92,15.22,278865,2085299
Refinance,2023,73.42,57.77,15.64,143058,920531
Refinance,2024,74.59,58.58,16.01,162083,1129691
All,2020,85.98,71.24,14.74,878877,10803395
All,2021,86.27,73.26,13.01,1095831,10915584
All,2022,80.79,66.59,14.2,871005,6705760
All,2023,77.7,62.7,15.01,674537,4728932
All,2024,78.32,63.54,14.78,690670,4958928
