Year,Spec,Raw_Gap_pp,Unexplained_pp,Explained_pp,Pct_Unexplained,N_Black,N_White
2020,Without DTI,12.457,11.582,0.875,93.0,20000,100000
2020,With DTI,12.457,8.549,3.908,68.6,20000,100000
2021,Without DTI,12.243,11.146,1.097,91.0,20000,100000
2021,With DTI,12.243,8.215,4.028,67.1,20000,100000
2022,Without DTI,12.118,11.911,0.207,98.3,20000,100000
2022,With DTI,12.118,8.522,3.596,70.3,20000,100000
2023,Without DTI,11.838,11.497,0.341,97.1,20000,100000
2023,With DTI,11.838,8.14,3.698,68.8,20000,100000
2024,Without DTI,12.192,11.419,0.773,93.7,20000,100000
2024,With DTI,12.192,8.001,4.191,65.6,20000,100000
