Year,Spec,Beta_pp,SE,T_stat,P_value,Sig,N_obs,N_lenders
2020,Without DTI,-9.842,0.244,-40.392,0.0,***,774879,2871
2020,With DTI,-6.76,0.232,-29.167,0.0,***,677342,2847
2021,Without DTI,-9.375,0.221,-42.38,0.0,***,833165,3018
2021,With DTI,-6.496,0.218,-29.843,0.0,***,724977,2994
2022,Without DTI,-0.0,0.385,-0.0,1.0,n.s.,774181,3060
2022,With DTI,-0.004,0.315,-0.012,0.9908,n.s.,665840,3043
2023,Without DTI,-11.483,0.255,-45.0,0.0,***,688112,3029
2023,With DTI,-7.88,0.237,-33.182,0.0,***,594030,3011
2024,Without DTI,-11.286,0.268,-42.121,0.0,***,654067,2807
2024,With DTI,-7.56,0.248,-30.478,0.0,***,569540,2778
