Year,Purpose,Black_approval_pct,White_approval_pct,Gap_pp,N_Black,N_White
2020,Purchase,75.98,89.44,13.46,460728,3903931
2020,Refinance,72.39,87.47,15.08,355954,6260224
2021,Purchase,79.0,90.1,11.1,516011,4002057
2021,Refinance,73.48,87.03,13.55,496115,6072549
2022,Purchase,76.61,88.55,11.94,440546,3207599
2022,Refinance,64.07,79.38,15.31,281926,2140995
2023,Purchase,74.38,87.04,12.66,370238,2570280
2023,Refinance,58.08,73.96,15.88,145565,960217
2024,Purchase,75.22,87.43,12.21,361910,2594750
2024,Refinance,58.84,75.02,16.17,164864,1172520
